Predicted Cell Type
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
Invasive Tumor
CD4+ T Cells
Invasive Tumor
CD4+ T Cells
Invasive Tumor
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
Invasive Tumor
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
Invasive Tumor
Invasive Tumor
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
Invasive Tumor
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
Invasive Tumor
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
Invasive Tumor
Invasive Tumor
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
Invasive Tumor
Invasive Tumor
Invasive Tumor
CD4+ T Cells
Invasive Tumor
CD4+ T Cells
CD4+ T Cells
Invasive Tumor
CD4+ T Cells
CD4+ T Cells
Invasive Tumor
CD4+ T Cells
CD4+ T Cells
Invasive Tumor
CD4+ T Cells
Invasive Tumor
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
Invasive Tumor
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
Invasive Tumor
Invasive Tumor
CD4+ T Cells
CD4+ T Cells
CD4+ T Cells
Invasive Tumor
